,year,file,lon,lat,date,time,site,pop,weather,wind,distance,temperature,notes
,2018,01-C45-18-01,,,,,,east_donegal,,,,,No info provided. Only quadrat
,2018,02-C45-18-02,,,,,,east_donegal,,,,,No info provided. Only quadrat
,2018,03-C22-18-01,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,04-C45-18-03,,,,,,east_donegal,,,,,No info provided. Only quadrat
,2018,05-C03-18-03,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,06-C03-18-01,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,07-C03-18-05,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,08-C03-18-04,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,10-C14-18-02,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,11-C45-18-05,,,,,,east_donegal,,,,,No info provided. Only quadrat
,2018,12-C45-18-06,,,,,,east_donegal,,,,,No info provided. Only quadrat
,2018,14-C03-18-01,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,15-C14-18-02,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,16-C14-18-03,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,17-C14-18-01,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,18-C45-18-03,,,,,,east_donegal,,,,,No info provided. Only quadrat
,2018,19-C45-18-03,,,,,,east_donegal,,,,,No info provided. Only quadrat
,2018,20-C14-18-02,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,21-C14-18-03,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,23-C14-18-01,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,24-C24-18-02,,,,,,east_donegal,,,,,No info provided. Only quadrat
,2018,26-C03-18-01,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,27-C03-18-05,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,28-C03-18-06,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,29-C03-18-07,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,30-C03-18-02,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,31-C03-18-06,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,32-C03-18-07,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,33-C03-18-07,,,,,,west_donegal,,,,,No info provided. Only quadrat
,2018,34-C24-18-01,,,,,,east_donegal,,,,,No info provided. Only quadrat
,2018,35-C24-18-03,,,,,,east_donegal,,,,,No info provided. Only quadrat
1,2021,01-C45-21-01,-7.364465,55.37577,2021-04-13,22:48,Ballyhillin,east_donegal,clear,1,7,4,Weather: Light northerly wind. 4 degrees Celsius. Clear skies with light breeze. Background sound: the sea and breeze. Also water running in a small ditch next to the road. Recording distance : 5- 10 metres approx. 
2,2021,02-C03-21-02,-7.85819,55.205205,2021-04-19,22:47,Downings,west_donegal,light rain,2,25,8,"Weather:  Northerly wind. 8 degrees Celsius. Some light rain. Background sound: the sea, wind and rain. Distant urban noise of Downings and some livestock. Also echo of Corncrake call off of surrounding houses. Recording distance : 20-30 metres approx. "
3,2021,03-C03-21-02,-7.85819,55.205205,2021-04-19,22:36,Downings,west_donegal,light rain,2,25,8,"Weather:  Northerly wind. 8 degrees Celsius. Some light rain. Background sound: the sea, wind and rain. Distant urban noise of Downings and some livestock. Also echo of Corncrake call off of surrounding houses. Recording distance : 20-30 metres approx. This is an alternative but clearer,  shorter sound file to that in file no:2 "
4,2021,04-C45-21-02,-7.345933,55.352439,2021-04-22,23:30,Ardmalin,east_donegal,clear,1,7,9,Weather:  Northerly breeze. 9 degrees Celsius. Clear skies. Background sound: the sea and wind. Corncrake accompanied by reeling of Grasshopper warbler. Distant traffic noise of and some livestock. Also echo of Corncrake call off of surrounding houses. Recording distance : 5-10 metres approx. 
5,2021,05-C45-21-03,-7.345933,55.352439,2021-04-25,23:58,Ardmalin,east_donegal,clear,2,25,9,"Weather:  Northerly wind. 9 degrees Celsius. Clear skies with light breeze. Background sound: the sea, wind. Also Culoort corncrake calling in the distance. Recording distance : 20-30 metres approx. "
6,2021,06-C45-21-06,-7.347158,55.350801,2021-04-26,00:30,Culoort,east_donegal,clear,2,25,9,"Weather:  Northerly wind. 9 degrees Celsius. Clear skies with light breeze. Background sound: the sea, wind. Also C45/21/03 calling in the distance. Recording distance : 20-30 metres approx. "
7,2021,07-C45-21-05,-7.345452,55.364367,2021-04-26,01:18,Ardmalin,east_donegal,clear,1,15,9,"Weather:  Northerly breeze. 9 degrees Celsius. Clear skies with light breeze. Background sound: the sea, Jackdaws and Grasshopper warbler calling. Recording distance : 10-20 metres approx. "
8,2021,08-C45-21-04,-7.365333,55.376708,2021-04-26,01:57,Ballyhillin,east_donegal,clear,2,5,9,"Weather:  Northerly wind. 9 degrees Celsius. Clear skies with light breeze. Background sound: the sea, wind. Also C45/21/01 calling in the distance but mixed in with echo off of nearby cottages. Recording distance : 5 metres approx. "
9,2021,09-C45-21-07,-7.336123,55.365763,2021-04-30,01:14,Ardmalin,east_donegal,clear,2,15,7,"Weather:  Northerly wind. 7 degrees Celsius. Clear skies with light breeze. Background sound: the sea, wind. Also sheep calling. Recording distance : 15 metres approx. "
10,2021,10-C03-21-01,-7.907992,55.169981,2021-05-05,22:43,Fraugher,west_donegal,clear,2,8,2,"Weather:  Northerly wind. 2 degrees Celsius. Clear skies with light breeze. Occasional wintery shower. Background sound: the sea, wind and two echoes bouncing off of nearby houses. Recording distance : 8 metres approx. Calling close to an old wooden  boat on a trailer. "
11,2021,11-C03-21-08,-7.855432,55.203315,2021-05-06,23:54,Downings,west_donegal,clear,2,8,8,"Weather:  Northerly wind. 8 degrees Celsius. Clear skies blustery wind. Background sound: the sea, wind. Also the sound of horses and other livestock. Also echo of call off of  nearby houses. Recording distance : 8 metres approx. "
12,2021,12-CottageRowe-Unconfirmed,-7.973796,55.181728,2021-05-10,23:28,Dunfanaghy,west_donegal,light rain,2,28,11,Weather:  SW wind. 11 degrees Celsius.  SW Gentle breeze. Background sound: Urban sounds of Dunfanaghy inc. traffic. Also echo of call off of nearby houses. Recording distance : 25-30 metres approx. 
13,2021,13-C03-21-03,-7.975125,55.191377,2021-05-11,00:01,Dunfanaghy,west_donegal,light rain,1,7,11,"Weather: Light wind. Background sound: the sea, nearby stream. 11 degrees Celsius.  SW Gentle breeze. Also echo of call off of nearby houses. : Urban sounds of Dunfanaghy inc. traffic. Recording distance : 5-10 metres approx. "
14,2021,14-C45-21-10,-7.358623,55.377967,2021-05-13,23:15,Ballyhillin,east_donegal,light rain,1,5,12,"Weather: Light wind.  Background sound: the sea, nearby stream. 12 degrees Celsius. Light  breeze. Recording distance: 5 metres approx. "
15,2021,15-C45-21-09,-7.36619,55.377414,2021-05-13,23:31,Ballyhillin,east_donegal,light rain,1,7,12,"Weather:  Background sound: the sea, wind, sheep. 12 degrees Celsius. Light  breeze. Recording distance: 5-10 metres approx. "
16,2021,16-C03-21-04,-7.9769,55.190965,2021-05-16,00:12,Dunfanaghy,west_donegal,light rain,1,13,12,"Weather: Light wind.  Background sound: Urban sound of Dunfanaghy, music from party, traffic, animals and water birds. C03-21-03 calling in background. 12 degrees Celsius. Light breeze. Recording distance: 10- 15 metres approx. "
17,2021,17-C03-21-02,-7.858389,55.206715,2021-05-16,01:52,Downings,west_donegal,light rain,0,7,13,Weather: Calm.  Background sound: Wind and the sea.Vibration and echo off of metal farm buildings and nearby houses.13 degrees Celsius. Light breeze. Recording distance: 5- 10 metres approx. 
18,2021,18-C14-21-01,-7.798023,55.232998,2021-05-26,23:20,Gortnalughoge,west_donegal,partly overcast,1,13,14,Weather: Light wind.  Background sound: Wind and the sea.14 degrees Celsius. Light breeze. Recording distance: 10- 15 metres approx. 
19,2021,19-C03-21-06,-7.853479,55.196125,2021-05-27,00:04,Downings,west_donegal,partly overcast,1,4,12,Weather:  Light wind. Background sound: the sea and Sedge Warbler. 12 degrees Celsius. Calm. Recording distance: 3- 5 metres approx.  
20,2021,20-C03-21-08,-7.855955,55.202103,2021-05-27,00:32,Downings,west_donegal,partly overcast,0,13,12,"Weather: Calm. Background sound: the sea, Grasshopper Warbler and Sedge Warbler. C03-21-06 can also be heard in background. 12 degrees Celsius. Calm. Recording distance: 12-15 metres approx."
21,2021,21-C03-21-05,-7.913284,55.168988,2021-06-01,23:29,Marble Hill,west_donegal,light rain,1,7,14,"Weather: Light wind.  Background sound: the sea, voice echoe and a distant C03-21-01 calling. 14 degrees Celsius. Calm. Recording distance: 5- 8 metres approx. "
22,2021,22-C04-21-01,-7.854656,55.209289,2021-06-02,00:52,Downings,west_donegal,overcast,1,7,13,Weather: Light wind.  Background sound: the wind and sea. 13 degrees Celsius. Calm. Recording distance: 5-10 metres approx. 
23,2021,24-C44-21-01,-7.321873,55.291359,2021-06-09,00:07,Donaghmore,east_donegal,overcast,2,10,14,"Weather: V.windy. Background sound: the wind, occasional vehicle, sheep, cows and aircraft at end. 14 degrees Celsius. Very windy. Recording distance: 10 metres approx. "
24,2021,25-C44-21-01,-7.321873,55.291359,2021-06-09,00:20,Donaghmore,east_donegal,overcast,2,10,14,"Weather: V. windy. Background sound: the wind, occasional vehicle, curlew and other shore birds and sheep. 14 degrees Celsius. Windy. Recording distance: 10 metres approx. "
25,2021,26-C03-21-07,-7.982821,55.188153,2021-06-15,01:50,Dunfanaghy,west_donegal,partly overcast,1,10,13,Weather: Light wind.  Background sound: Urban sounds of Dunfanaghy and cars. Cows and other livestock. 13 degrees Celsius. Windy. Recording distance: 10 metres approx. 
26,2021,27-C45-21-11,-7.343718,55.354745,2021-06-23,01:03,Ardmalin,east_donegal,overcast,2,7,13,Weather: V. windy.  Background sound: Wind and rough sea. Cows (10) leaning over fence. C45-21-03 calling in background. 13 degrees Celsius. Windy with drizzle. Recording distance: 5- 10 metres approx. 
27,2021,28-C45-21-03,-7.344102,55.35445,2021-06-23,01:30,Ardmalin,east_donegal,light rain,2,4,13,Weather: V. windy.  Background sound: Wind and rough sea. C45-21-11 calling in background. 13 degrees Celsius. Windy with drizzle. Recording distance: 3-5 metres approx. 
28,2021,29-C45-21-02,-7.344433,55.354452,2021-06-23,02:12,Ardmalin,east_donegal,light rain,2,10,13,Weather: V. windy.  Background sound: Wind and rough sea. C45-21-03 or11 calling in background. 13 degrees Celsius. Windy with drizzle. Recording distance: 10 metres approx. 
29,2021,30-C45-21-12,-7.339072,55.307993,2021-06-26,23:45,Lagacurry,east_donegal,partly overcast,0,8,16,Weather: Calm and dry.  Background sound: The sea and some voice echo. 16 degrees Celsius.  Recording distance: 8 metres approx.  
30,2021,31-C34-21-01,-7.38357,55.281453,2021-06-27,00:22,Ballyliffin,east_donegal,partly overcast,0,15,16,Weather: Calm and dry.  Background sound: Road traffic from road next to field. Music from nearby party and dog barking. Also voice echoe and electrical hum from a believed electrical sub-station. 16 degrees Celsius. Recording distance: 10-20 metres approx.
31,2021,32-C45-21-11,-7.340436,55.35868,2021-06-29,05:31,Ardmalin,east_donegal,partly overcast,2,28,14,"Calling bird after being disturbed by livestock. Weather: windy and dry.  Background sound: Wind, insects, Sedge warbler, Rooks, Meadow Pipit, Jackdaws, Dog barking and sheep. Also the sound of cars and a house being constructed 14 degrees Celsius. Light wind but dry. Recording distance: 25-30 metres approx. "
32,2021,34-C03-21-04,-7.977229,55.192195,2021-07-07,23:41,Dunfanaghy,west_donegal,rain,1,10,15,"Weather: Light wind and showers.  Background sound: Urban noise of Dunfanaghy and nearby houses with traffic and human voices. Estuary birds, livestock and C03-21-07 calling in the background at end of recording. Also voice echo off of nearby houses. 15 degrees Celsius. Recording distance: 10 metres approx. "
33,2021,35-C03-21-01,-7.910459,55.168635,2021-07-08,01:07,Marble Hill,west_donegal,light rain,1,7,14,Weather: Light wind and showers.  Background sound: Road traffic from road next to field. Also voice echo off of nearby houses. 14 degrees Celsius. Recording distance: 7 metres approx. 
34,2021,36-C45-21-11,-7.341609,55.356441,2021-07-21,23:08,Ardmalin,east_donegal,partly overcast,1,13,17,Weather: Light wind and dry.  Background sound: Road traffic and various urban sounds. 17 degrees Celsius. Recording distance: 10- 15 metres approx. 
35,2021,37-C45-21-06_02,-7.342661,55.353859,2021-07-21,23:23,Ardmalin,east_donegal,partly overcast,1,6,17,SECOND LOCATION? Weather: Light wind and dry.  Background sound: Road traffic and C45-21-03 calling nearby. Also voice echo off of nearby houses. 17 degrees Celsius. Recording distance: 6 metres approx. 
36,2021,38-C45-21-03,-7.345143,55.352489,2021-07-22,00:11,Ardmalin,east_donegal,overcast,1,5,17,"Weather: Light wind and dry.  Background sound: Road traffic, dog bark and C45-21-11 calling nearby. 17 degrees Celsius. Recording distance: 5 metres approx."
37,2021,39-C45-21-08,-7.345315,55.358311,2021-07-22,00:55,Ardmalin,east_donegal,overcast,1,18,17,"Weather: Light wind and dry.  Background sound: Road traffic and urban sounds, the sea. Occasional sound of insect wings (moths) close to microphone. C45-21-08 calling nearby. Also voice echo off of nearby ruin houses. 17 degrees Celsius. Recording distance: 15-20 metres approx. "
38,2021,40-C45-21-02,-7.34672,55.35919,2021-07-22,01:18,Ardmalin,east_donegal,overcast,1,10,17,"Weather: Light wind and dry.  Background sound: Road traffic, urban noise, the sea. C45-21-08 and possibly one other  calling nearby. Also voice echo off of nearby houses. 17 degrees Celsius. Recording distance: 10 metres approx. "
39,2020,01-C03-20-01,-7.908479,55.169882,2020-04-30,23:49,Marble Hill,west_donegal,overcast,2,15,8,Weather: Light northerly wind. 8 degrees Celsius. Some rain showers. Background sound reflects urban environment with traffic sound and Sedge warbler in song. Water dripping off trees.Recording distance : 10- 20 metres approx.
40,2020,02-C45-20-03,-7.345569,55.352491,2020-05-20,22:34,Ardmalin,east_donegal,partly overcast,1,10,10,"Weather:  Southerly breeze. 10 degrees Celsius.  Background sound are that of Malin Head urban activity, livestock, the wind and sea. Recording distance : 10 metres approx."
41,2020,03-C45-20-04,-7.366288,55.377207,2020-05-20,23:35,Ballyhillin,east_donegal,partly overcast,2,10,10,Weather: Strong southerly wind. 10 degrees Celsius.  Background sound are that of the wind and sea. Recording distance : 10 metres approx.
42,2020,04-C45-20-04,-7.366288,55.377207,2020-05-20,23:46,Ballyhillin,east_donegal,partly overcast,2,10,10,Weather: Strong southerly wind. 10 degrees Celsius.  Background sound are that of the wind and sea. Recording distance : 10 metres approx.
43,2020,5-C45-20-02,-7.349022,55.3602,2020-05-05,22:38,Ardmalin,east_donegal,partly overcast,1,20,10,Weather: Light southerly breeze. 10 degrees Celsius. Background sound reflects Malin Head urban environment with traffic sound. Also wading birds and livestock. Recording distance : 20 metres approx.
44,2020,6-C03-20-02,-7.973828,55.181764,2020-05-08,23:45,Dunfanaghy,west_donegal,overcast,0,25,11,"Weather: No wind. 11 degrees Celsius. Background sound is cats fighting in nearby housing estate, general urban environment with traffic sound. Recording distance : 20- 30 metres approx."
45,2020,7-C45-20-06,-7.358064,55.376428,2020-05-14,22:36,Ballyhillin,east_donegal,light rain,2,25,9,Weather: Windy. 09 degrees Celsius. Background sound is the wind and sea. C45/20/01 can be heard calling in the background. Recording distance : 25 metres approx.
46,2020,8-C45-20-01,-7.364409,55.376299,2020-05-14,22:50,Ballyhillin,east_donegal,light rain,2,8,9,Weather: Windy. 09 degrees Celsius. Background sound is the wind and sea. There is some occasional echo of the birds voice bouncing off the walls of nearby property. Recording distance : 5-10 metres approx.
47,2020,9-C45-20-05,-7.325112,55.357492,2020-05-14,23:47,Carnmalin,east_donegal,partly overcast,2,225,9,Weather: Windy. 09 degrees Celsius. Background sound is mainly the wind.Faint sound of Grasshopper warbler and Sedge warbler and a Fox can be heard. Recording made from the roadside and 2x cars can be heard passing. Recording distance : 200-250 metres approx.
48,2020,10-C24-20-02,-7.668589,55.252687,2020-05-21,00:14,Shannagh Lough,west_donegal,overcast,1,35,12,"Weather: Sheltered position/ humid. 12 degrees Celsius. Background sounds are sheep, perhaps some distant traffic activity.Recording distance : 30- 40 metres approx."
49,2020,11-C24-20-01,-7.637898,55.275743,2020-05-21,00:45,Fanad Lighthouse,west_donegal,overcast,1,10,12,Weather: Slight breeze/ humid. 12 degrees Celsius. Background sound is mainly the sea and the birds voice echoing off the sea wall nearby. Recording distance : 10 metres approx.
50,2020,12-C03-20-03,-7.855887,55.203594,2020-05-25,02:02,Downings,west_donegal,partly overcast,2,5,12,Weather: Sheltered position. 12 degrees Celsius. Background sounds include some echo from nearby houses and wind. Recording distance : 5 metres approx.
51,2020,13-C04-20-01,-7.851543,55.20986,2020-05-25,02:19,Downings,west_donegal,partly overcast,2,15,12,"Weather: Windy and exposed. 12 degrees Celsius. Background sound is the wind, voice echoing off nearby houses and a distant Sedge Warbler singing. Recording distance : 10- 20 metres approx."
52,2020,14-C45-20-07,-7.343724,55.355383,2020-05-26,00:05,Ardmalin,east_donegal,partly overcast,2,25,12,Weather: Windy and exposed position. 12 degrees Celsius. Background sound is the wind and what is believed to be C45/20/03 calling in the distance. Recording distance : 20- 30 metres approx.
53,2020,15-C45-20-03,-7.345569,55.352491,2020-05-26,00:26,Ardmalin,east_donegal,partly overcast,2,35,12,Weather: Windy and exposed position. 12 degrees Celsius. Background sound is the wind and a distant Sedge Warbler singing. Recording distance : 30- 40 metres approx.
54,2020,16-C45-20-06,-7.358064,55.376428,2020-05-30,02:13,Ballyhillin,east_donegal,partly overcast,2,5,15,Weather: Sheltered position/ humid. 15 degrees Celsius. Background sound is the wind and seas. There are also distant human voices. Recording distance : 5 metres approx.
55,2020,18-C24-20-03,-7.670865,55.262854,2020-06-30,01:23,Ballure,east_donegal,light rain,2,35,10,"Weather: Light breeze. 10 degrees Celsius. Background sound- Very windy conditions, the sea and clattering sounds from farm materials lying around in the background. Recording distance : 30- 40  metres approx."
56,2020,20-C03-20-03,-7.854821,55.202802,2020-06-11,00:48,Downings,west_donegal,light rain,1,15,12,Weather: Light breeze. 12 degrees Celsius. Background sound Echo of voice off a nearby houses and Grasshopper Warbler singing. Recording distance :10- 20  metres approx.
57,2020,21-C24-20-03,-7.670865,55.262854,2020-06-12,02:33,Ballure,east_donegal,overcast,1,25,12,"Weather: Windy. 12 degrees Celsius. Background sound: Wind noise, the sea, sea birds and some echo of voice off of nearby house and barn. Recording distance : 25  metres approx."
58,2020,22-C24-20-01,-7.637898,55.275743,2020-06-12,03:13,Fanad Lighthouse,west_donegal,overcast,1,8,12,"Weather: Light breeze. 12 degrees Celsius. Background sound Minimal wind noise, the sea, a distant Skylark and slight echo off of the lighthouse sea wall. Recording distance : 5-10  metres approx."
59,2020,23-C13-20-01,-7.82116,55.198903,2020-06-14,00:02,Downings,west_donegal,overcast,1,20,12,"Weather: Windy. 12 degrees Celsius. Background sound Wind noise, distant human voices and traffic. Recording distance : 20  metres approx."
60,2020,24-C45-20-03,-7.345569,55.352491,2020-06-25,00:05,Ardmalin,east_donegal,partly overcast,0,5,13,"Weather: Calm. 13 degrees Celsius. Background sound is the sea, some very light breeze and a dog.C45/20/07 is also calling in the background. Recording distance : 5  metres approx."
61,2020,25-C45-20-07,-7.343724,55.355383,2020-06-25,00:43,Ardmalin,east_donegal,partly overcast,0,13,13,"Weather: Calm. 13 degrees Celsius. Background sound is the sea, some very light breeze and slight echo off of a nearby building. Recording distance : 10- 15  metres approx."
62,2020,26-C45-20-06,-7.358064,55.376428,2020-06-25,01:38,Ballyhillin,east_donegal,light rain,0,30,13,Weather: Calm. 13 degrees Celsius. Background sound is the sea. C45/20/04 is also calling in the background. Recording distance : 25-35  metres approx.
63,2020,27-C45-20-04,-7.366288,55.377207,2020-06-25,02:05,Ballyhillin,east_donegal,light rain,0,5,13,Weather: Calm. 13 degrees Celsius. Background sound is the sea. C45/20/06 is also calling in the background. Recording distance : 5  metres approx.
64,2020,28-C24-20-02,-7.668589,55.252687,2020-06-26,01:04,Shannagh Lough,west_donegal,rain,0,18,14,"Weather: Calm. 14 degrees Celsius. Background sound is the sea, sheep and occasional vehicle noise. Recording distance : 15-20  metres approx."
65,2020,29-C45-20-07,-7.343724,55.355383,2020-07-07,23:53,Ardmalin,east_donegal,partly overcast,1,10,11,"Weather: Windy. 11 degrees Celsius. Background sound is the sea, the wind and traffic noise. C45/20/03 is also calling in the background. Bird calling from 2ND LOCATION in Patsy Collins field. Recording distance : 10  metres approx."
66,2020,30-C45-20-08,-7.344039,55.357271,2020-08-08,00:10,Ardmalin,east_donegal,partly overcast,0,5,13,Weather: Calm. 13 degrees Celsius. Background sound is the sea. C45/20/07 is also calling in the background. Recording distance : 5  metres approx.
67,2020,31-C45-20-01,-7.364409,55.376299,2020-08-08,00:27,Ballyhillin,east_donegal,partly overcast,0,5,13,"Weather: Calm. 13 degrees Celsius. Background sound is the sea, the wind. Some echo can also be heard. Recording distance : 5  metres approx."
68,2020,32-C35-20-01,-7.371821,55.377488,2020-08-08,00:58,Ballyhillin,east_donegal,partly overcast,1,8,13,"Weather: Windy. 13 degrees Celsius. Background sound is the sea, the wind and cows. Recording distance : 8  metres approx."
69,2020,33-C24-20-03,-7.975848,55.163967,2020-07-09,23:41,Port Lough,west_donegal,light rain,2,5,14,Weather: Windy. 14 degrees Celsius. Background sound is the sea and wind. Recording distance : 5  metres approx.
